discussions_count,comments_count,movie_count,screenshot_count,awards_count,link_count,file_size_mb,change_notes,certified_compatible,creator_count,featured_collection_count,visitors_count,favorites_count,accepted,posted_time,updated_time,passed_time,media_count,class_count,item_slot_count,submitted_by_submitter,class_scout,class_soldier,class_pyro,class_demoman,class_heavy,class_engineer,class_medic,class_sniper,class_spy,item_slot_headgear,item_slot_misc,item_slot_taunt,item_slot_weapon
6,55,0,5,0,0,5.178,2,1,2,113,14877,611,1,1506677400.0,1513623660.0,6946260.0,5,1,1,26,0,1,0,0,0,0,0,0,0,1,0,0,0
0,83,1,4,0,0,5.431,31,1,1,18,3700,298,1,1318632240.0,1451653020.0,133020780.0,5,1,1,195,0,0,0,1,0,0,0,0,0,1,0,0,0
9,257,0,3,1,0,3.295,3,1,1,161,17455,1110,1,1329242940.0,1418383980.0,89141040.0,3,1,1,95,0,0,0,0,0,0,0,0,1,0,1,0,0
0,296,0,5,0,0,5.424,7,1,1,76,10994,895,1,1356425940.0,1370966040.0,14540100.0,5,1,1,209,0,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,9.071,1,1,9,1,130,5,1,1507287960.0,1507287960.0,0.0,0,9,1,172,1,1,1,1,1,1,1,1,1,0,1,0,0
0,0,0,0,0,0,9.14,1,1,9,2,134,5,1,1507290000.0,1507290000.0,0.0,0,9,1,172,1,1,1,1,1,1,1,1,1,0,1,0,0
0,0,0,0,0,0,9.213,1,1,9,4,195,7,1,1507290180.0,1507290180.0,0.0,0,9,1,172,1,1,1,1,1,1,1,1,1,0,1,0,0
1,7,1,1,0,0,1.691,1,0,2,12,4985,101,1,1507361040.0,1507361040.0,0.0,2,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,0,6,1,0,5.55,2,1,5,135,10260,747,1,1507455300.0,1507465920.0,10620.0,6,1,1,430,1,0,0,0,0,0,0,0,0,0,1,0,0
0,20,0,3,0,0,5.734,4,1,3,32,6036,339,1,1507757100.0,1510453920.0,2696820.0,3,9,2,426,1,1,1,1,1,1,1,1,1,1,1,0,0
7,43,0,6,2,0,9.727,7,1,7,43,9308,479,1,1507972380.0,1539903480.0,31931100.0,6,8,2,89,1,1,1,1,1,1,1,0,1,1,1,0,0
1,509,0,5,0,0,3.651,6,1,1,32,23955,898,1,1356947820.0,1370999760.0,14051940.0,5,1,1,95,0,0,0,0,1,0,0,0,0,0,1,0,0
2,18,0,11,0,0,1.275,1,0,2,38,5583,313,1,1508410500.0,1508410500.0,0.0,11,9,1,118,1,1,1,1,1,1,1,1,1,0,0,0,1
11,108,0,3,4,0,6.18,5,1,3,176,15403,1038,1,1508452920.0,1513253760.0,4800840.0,3,1,2,426,0,0,1,0,0,0,0,0,0,1,1,0,0
7,31,1,6,1,0,5.697,3,1,4,51,6719,345,1,1508476500.0,1513644780.0,5168280.0,7,1,1,76,0,0,1,0,0,0,0,0,0,0,1,0,0
0,22,0,6,0,0,5.749,1,0,2,23,4585,173,1,1508751780.0,1508751780.0,0.0,6,9,0,74,1,1,1,1,1,1,1,1,1,0,0,0,0
1,10,0,4,0,0,9.788,3,1,3,49,5438,244,1,1508815980.0,1513253820.0,4437840.0,4,9,1,426,1,1,1,1,1,1,1,1,1,1,0,0,0
1,18,0,16,1,0,0.714,1,0,1,19,4094,160,1,1508836260.0,1508836260.0,0.0,16,9,0,17,1,1,1,1,1,1,1,1,1,0,0,0,0
0,15,0,6,0,0,10.491,1,0,3,60,6149,321,1,1508849700.0,1508849700.0,0.0,6,9,0,12,1,1,1,1,1,1,1,1,1,0,0,0,0
0,21,0,6,0,0,11.942,1,0,2,24,5064,270,1,1508888520.0,1508888520.0,0.0,6,9,0,74,1,1,1,1,1,1,1,1,1,0,0,0,0
0,7,0,2,0,0,1.819,1,0,1,38,4338,170,1,1508938620.0,1508938620.0,0.0,2,0,2,15,0,0,0,0,0,0,0,0,0,0,1,0,1
14,96,0,12,2,0,5.981,1,0,3,113,26437,983,1,1508965320.0,1508965320.0,0.0,12,9,0,12,1,1,1,1,1,1,1,1,1,0,0,0,0
0,18,0,10,0,0,9.369,1,0,3,34,2850,134,1,1509010920.0,1509010920.0,0.0,10,9,0,172,1,1,1,1,1,1,1,1,1,0,0,0,0
1,18,0,3,0,2,1.6800000000000002,1,0,1,20,3531,135,1,1509017820.0,1509017820.0,0.0,3,9,0,6,1,1,1,1,1,1,1,1,1,0,0,0,0
0,23,0,11,0,0,2.677,1,0,2,80,4647,196,1,1509027600.0,1509027600.0,0.0,11,9,0,39,1,1,1,1,1,1,1,1,1,0,0,0,0
2,21,0,10,0,0,0.781,1,0,1,44,5779,363,1,1509034080.0,1509034080.0,0.0,10,9,0,80,1,1,1,1,1,1,1,1,1,0,0,0,0
0,4,0,0,0,0,0.027,1,0,1,16,1402,26,1,1357323420.0,1357323420.0,0.0,0,1,1,11,0,0,0,0,1,0,0,0,0,0,1,0,0
0,5,0,0,0,0,0.027,1,0,1,32,2075,51,1,1357323660.0,1357323660.0,0.0,0,1,1,11,0,0,0,0,1,0,0,0,0,1,0,0,0
0,10,0,0,0,0,0.032,1,0,1,45,2222,68,1,1357323960.0,1357323960.0,0.0,0,1,1,11,0,0,1,0,0,0,0,0,0,1,0,0,0
0,24,0,0,0,0,0.029,1,0,1,70,2649,88,1,1357324140.0,1357324140.0,0.0,0,1,1,11,0,0,1,0,0,0,0,0,0,0,1,0,0
0,13,0,0,0,0,0.023,1,0,1,34,1964,44,1,1357324260.0,1357324260.0,0.0,0,1,1,11,0,0,0,0,1,0,0,0,0,1,0,0,0
0,8,0,0,0,0,0.037,1,0,1,14,1644,37,1,1357324560.0,1357324560.0,0.0,0,1,1,11,0,0,0,0,1,0,0,0,0,0,1,0,0
0,15,0,0,0,0,0.026000000000000002,1,0,1,105,3235,108,1,1357324680.0,1357324680.0,0.0,0,9,1,11,1,1,1,1,1,1,1,1,1,1,0,0,0
0,5,0,0,0,0,0.021,1,0,1,19,1357,43,1,1357324800.0,1357324800.0,0.0,0,1,1,11,0,0,1,0,0,0,0,0,0,0,1,0,0
0,7,0,0,0,0,0.031,1,0,1,20,1120,27,1,1357325160.0,1357325160.0,0.0,0,1,1,11,1,0,0,0,0,0,0,0,0,0,1,0,0
0,5,0,0,0,0,0.02,1,0,1,41,1881,44,1,1357325340.0,1357325340.0,0.0,0,1,1,11,1,0,0,0,0,0,0,0,0,1,0,0,0
0,7,0,0,0,0,0.021,1,0,1,23,1415,35,1,1357325520.0,1357325520.0,0.0,0,1,1,11,1,0,0,0,0,0,0,0,0,0,1,0,0
0,27,0,9,0,0,5.409,2,0,1,78,6505,408,1,1509092340.0,1509244980.0,152640.0,9,9,0,6,1,1,1,1,1,1,1,1,1,0,0,0,0
1,23,0,15,0,0,7.543,1,0,2,39,4838,262,1,1509194640.0,1509194640.0,0.0,15,9,0,12,1,1,1,1,1,1,1,1,1,0,0,0,0
0,15,0,10,0,0,2.202,1,0,2,30,2989,99,1,1509244680.0,1509244680.0,0.0,10,9,0,39,1,1,1,1,1,1,1,1,1,0,0,0,0
1,520,0,6,0,0,3.926,10,1,2,39,20322,906,1,1357467840.0,1380634500.0,23166660.0,6,1,1,111,0,0,0,0,0,1,0,0,0,0,1,0,0
1,73,1,5,0,0,5.349,1,0,2,125,15013,1006,1,1509451320.0,1607447880.0,97996560.0,6,9,0,21,1,1,1,1,1,1,1,1,1,0,0,0,0
0,1264,0,6,0,1,6.941,5,1,1,102,45069,2246,1,1357630500.0,1371040560.0,13410060.0,6,1,1,114,1,0,0,0,0,0,0,0,0,0,1,0,0
1,10,0,5,0,0,5.605,5,1,4,47,4862,245,1,1509801720.0,1514503440.0,4701720.0,5,1,1,89,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1,0,7,0,0,0.892,3,0,1,119,5481,246,1,1509858480.0,1545654360.0,35795880.0,7,9,0,13,1,1,1,1,1,1,1,1,1,0,0,0,0
6,56,0,4,2,0,2.294,1,0,1,132,13268,804,1,1509917100.0,1509917100.0,0.0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
4,15,0,0,0,0,6.469,2,1,5,26,10226,215,1,1509962280.0,1510086960.0,124680.0,0,9,1,172,1,1,1,1,1,1,1,1,1,0,1,0,0
0,10,0,2,2,0,6.2620000000000005,1,0,1,32,3363,166,1,1510027200.0,1510027200.0,0.0,2,9,0,50,1,1,1,1,1,1,1,1,1,0,0,0,0
1,17,0,0,1,0,0.08,1,0,3,53,2984,56,1,1357811160.0,1357811160.0,0.0,0,1,1,10,0,0,0,0,0,1,0,0,0,0,1,0,0
0,5,0,0,0,0,0.109,1,0,3,16,1691,35,1,1357811220.0,1357811220.0,0.0,0,1,1,10,0,0,0,0,0,1,0,0,0,1,0,0,0
0,10,0,0,2,0,0.123,1,0,3,33,2283,54,1,1357811340.0,1357811340.0,0.0,0,1,1,10,0,0,0,0,0,1,0,0,0,0,1,0,0
0,321,1,5,0,0,6.758,8,1,1,32,18678,655,1,1357898580.0,1451658900.0,93760320.0,6,1,1,195,0,0,0,1,0,0,0,0,0,0,1,0,0
0,7,0,2,1,0,6.308,1,0,1,25,3155,149,1,1510324140.0,1510324140.0,0.0,2,9,0,50,1,1,1,1,1,1,1,1,1,0,0,0,0
2,11,0,4,0,0,7.323,3,1,2,39,7124,307,1,1510905600.0,1513254180.0,2348580.0,4,9,1,426,1,1,1,1,1,1,1,1,1,0,1,0,0
11,139,1,2,4,0,11.542,3,1,3,387,39708,1892,1,1510916100.0,1513254240.0,2338140.0,3,1,1,426,1,0,0,0,0,0,0,0,0,0,0,1,0
20,151,0,4,1,0,8.386,6,1,6,103,22325,1048,1,1510987920.0,1513271940.0,2284020.0,4,1,1,93,0,0,0,1,0,0,0,0,0,1,0,0,0
0,2,0,2,0,0,6.552,2,1,2,7,1546,24,1,1510996920.0,1510998720.0,1800.0,2,9,1,172,1,1,1,1,1,1,1,1,1,0,1,0,0
0,2,0,2,0,0,6.548,3,1,2,12,2701,43,1,1510997040.0,1511385480.0,388440.0,2,9,1,172,1,1,1,1,1,1,1,1,1,0,1,0,0
2,36,1,2,0,2,7.162,2,1,3,139,14542,672,1,1511094120.0,1513254360.0,2160240.0,3,1,1,15,1,0,0,0,0,0,0,0,0,0,0,1,0
3,10,1,6,0,0,9.977,2,1,7,46,4397,214,1,1511270580.0,1609585260.0,98314680.0,7,9,1,243,1,1,1,1,1,1,1,1,1,0,1,0,0
27,154,1,3,0,0,12.16,4,1,3,249,35397,1950,1,1511434020.0,1513256940.0,1822920.0,4,1,1,118,0,0,0,0,0,0,1,0,0,0,0,1,0
0,1777,1,3,0,0,2.577,6,1,2,85,47944,2422,1,1358495100.0,1453880580.0,95385480.0,4,2,1,426,0,0,1,0,0,1,0,0,0,0,1,0,0
2,123,0,0,0,0,0.029,1,0,1,158,6709,223,1,1358572500.0,1358572500.0,0.0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
15,77,2,2,0,3,15.674,2,1,3,246,27299,1133,1,1511953560.0,1513257120.0,1303560.0,4,1,1,15,0,0,1,0,0,0,0,0,0,0,0,1,0
1,32,0,5,0,0,6.873,3,1,2,88,9514,535,1,1511972040.0,1513253880.0,1281840.0,5,1,1,380,0,0,0,0,0,0,1,0,0,0,1,0,0
2,11,0,1,0,0,7.735,1,1,5,30,5162,151,1,1511990760.0,1511990760.0,0.0,1,9,0,426,1,1,1,1,1,1,1,1,1,0,0,0,0
1,14,1,4,0,0,6.879,8,1,1,41,1706,94,1,1358682240.0,1451658960.0,92976720.0,5,1,1,195,0,0,1,0,0,0,0,0,0,1,0,0,0
0,374,0,6,0,1,6.691,6,1,1,38,9652,627,1,1358719620.0,1371058500.0,12338880.0,6,1,1,114,1,0,0,0,0,0,0,0,0,0,1,0,0
1,12,0,3,0,0,5.665,1,1,3,32,3413,197,1,1512215520.0,1512215520.0,0.0,3,1,1,216,0,0,0,0,1,0,0,0,0,0,1,0,0
1,9,0,3,0,0,5.453,1,1,3,32,3613,172,1,1512215760.0,1512215760.0,0.0,3,1,1,216,0,0,0,0,1,0,0,0,0,1,0,0,0
4,221,0,7,0,1,5.384,3,1,1,299,12536,753,1,1358776260.0,1371032100.0,12255840.0,7,1,2,114,0,0,0,0,0,0,0,1,0,0,1,0,1
15,76,2,1,5,0,9.879,1,1,4,239,24145,1051,1,1512409020.0,1512409020.0,0.0,3,1,1,7,1,0,0,0,0,0,0,0,0,0,0,1,0
30,121,1,3,3,2,18.314,4,1,3,332,33333,1643,1,1512556680.0,1513256520.0,699840.0,4,1,1,118,0,0,0,0,0,0,0,0,1,0,0,1,0
0,6,0,6,2,2,1.842,4,0,2,10,3081,138,1,1512563400.0,1570155600.0,57592200.0,6,8,1,4,1,1,1,1,1,1,1,0,1,0,1,0,0
